,influencer,month,capture_audience,denier_audience,sentiment_audience,male_audience,aggressive_audience,followers_audience,verified_audience,freq_audience,capture_echoer,denier_echoer,sentiment_echoer,male_echoer,aggressive_echoer,followers_echoer,verified_echoer,freq_echoer
65,UN,2017-10-01,0.00017874321720352603,0.02830107711573229,0.11746781313700037,0.6515151515151515,0.2536010020783259,123202.48078188073,0.0,111.55577119515834,0.0006212243103544354,0.006448571538425724,0.2627517020924387,0.8478833049045716,0.2732650128289014,7234934.312648287,0.0,34.71241509225306
66,UNEP,2017-10-01,0.00017397808322249046,0.013228946136934842,0.15421420223751436,0.6802325581395349,0.2985538822053681,35699.19726971148,0.0,54.780821042147245,0.0004984590890730199,0.005447037308344076,0.1993950677352444,0.8381033248774713,0.1974468893302353,1308467.5206069525,0.0,25.166684945225825
67,UNFCCC,2017-10-01,0.00033856058891323443,0.023478306768174573,0.1418273943837805,0.647912885662432,0.2744963761470368,7451.988825179388,0.0,75.93593712283429,0.0007325556683146967,0.007359065847359731,0.13643572666461068,0.8223039428746423,0.28381619479449793,1165298.1032145347,0.0,25.21474797545407
68,ajplus,2017-10-01,8.220942394029769e-05,0.017857142857142856,0.014382648740621133,0.5714285714285714,0.25276360544217685,3212.299043367347,0.0,103.53624981053515,0.0005357661136435215,0.007731413666387706,-0.1257334676288114,0.8111819234081554,0.5004768080893329,2270620.4961511334,0.0,43.49199195924096
69,annemariayritys,2017-10-01,0.0034592938403567993,0.03296606002152302,0.02841574831635836,0.5934959349593496,0.3238218216080963,11963.440650717723,0.0,206.9294975332912,0.015267523460334137,0.014689632164296189,0.11896871161866908,0.5251302245960923,0.2950012732481145,858444.519225408,0.0,181.41417327168168
70,billmckibben,2017-10-01,0.00016261452581880557,0.0353641374779289,-0.08196476011024402,0.5925925925925926,0.3107309179251187,9577.486033682899,0.0,94.3665168880223,0.00040086356692117033,0.011402178078389525,0.1958398184604263,0.8326320642071604,0.27463636020045745,1326695.5582008227,0.0,27.252834756527367
71,brianschatz,2017-10-01,9.501042187779318e-05,0.03844785887039408,-0.1561714130862413,0.5211267605633803,0.5226504227384509,4884.597793071561,0.0,177.35481557184093,0.00024281961178420331,0.010431891991072204,-0.05559314029722524,0.8130790185693494,0.47165499270483047,1833114.071399812,0.0,38.11841056434745
72,britneyspears,2017-10-01,3.197033153233799e-05,0.07692307692307693,-0.18381527045404278,0.6923076923076923,0.7692307692307693,26076.0,0.0,65.25349210583153,1.4016202730356292e-05,0.0,-0.496287668466568,0.0,0.0,1683.0,0.0,5.724496877168633
73,cathmckenna,2017-10-01,0.0003343338060246193,0.01796872668699465,0.15871473595655203,0.6610169491525424,0.2824780422442885,8185.510714822637,0.0,81.3867249416981,0.0003031982779003171,0.008335475380431213,0.24139848372511005,0.4685417715777618,0.27203944785134526,885657.4115667794,0.0,35.98207431508357
74,citizensclimate,2017-10-01,0.00014765678893285998,0.02582377530831139,0.03651394937349096,0.6494845360824743,0.3678907289732032,2703.36648091313,0.0,44.204093871443995,0.0006143515625869464,0.011851420119384098,0.06569178565691983,0.8027902713307228,0.3487734888317393,615985.4869545563,0.0,22.436015885412317
